,CellLine,Run,GCS_RNA_SRA_dirpaths,Tissue,Experiment,Sample,SRAStudy,ReleaseDate,LibraryName,LibrarySource,Sex,CenterName,size_MB,download_path
0,NCIH2196,SRR8616109,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616109/,LUNG,SRX5414941,SRS4395879,SRP186687,2019-03-27 12:24:37,RNASeq-NCIH2196_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,9009,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616109.sralite.1
1,NCIH1563,SRR8616187,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616187/,LUNG,SRX5414863,SRS4395247,SRP186687,2019-03-27 12:24:36,RNASeq-NCIH1563_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,12081,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616187.sralite.1
2,GDM1,SRR8615385,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615385/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414368,SRS4395412,SRP186687,2019-03-27 12:24:29,RNASeq-GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,10483,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615385.sralite.1
3,IGROV1,SRR8615844,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615844/,OVARY,SRX5414556,SRS4395578,SRP186687,2019-03-27 12:24:31,RNASeq-IGROV1_OVARY,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8585,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615844.sralite.1
4,KYSE30,SRR8616039,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616039/,OESOPHAGUS,SRX5415011,SRS4395937,SRP186687,2019-03-27 12:24:38,RNASeq-KYSE30_OESOPHAGUS,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8538,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/616/SRR8616039.sralite.1
5,KELLY,SRR8615357,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615357/,AUTONOMIC_GANGLIA,SRX5414396,SRS4395437,SRP186687,2019-03-27 12:24:29,RNASeq-KELLY_AUTONOMIC_GANGLIA,TRANSCRIPTOMIC,,BROAD INSTITUTE,5639,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615357.sralite.1
6,NCIH2073,SRR8615252,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615252/,LUNG,SRX5414501,SRS4395204,SRP186687,2019-03-27 12:24:31,RNASeq-NCIH2073_LUNG,TRANSCRIPTOMIC,female,BROAD INSTITUTE,10600,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615252.sralite.1
7,WM88,SRR8618303,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8618303/,SKIN,SRX5417213,SRS4397853,SRP186687,2019-03-27 12:24:41,RNASeq-WM88_SKIN,TRANSCRIPTOMIC,,BROAD INSTITUTE,5288,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/618/SRR8618303.sralite.1
8,LN340,SRR8615400,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615400/,CENTRAL_NERVOUS_SYSTEM,SRX5414353,SRS4395401,SRP186687,2019-03-27 12:24:29,RNASeq-LN340_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8424,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615400.sralite.1
9,ISHIKAWAHERAKLIO02ER,SRR8615493,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615493/,ENDOMETRIUM,SRX5414260,SRS4395328,SRP186687,2019-03-27 12:24:28,RNASeq-ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8608,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615493.sralite.1
10,TOV21G,SRR8615729,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615729/,OVARY,SRX5414671,SRS4395668,SRP186687,2019-03-27 12:24:33,RNASeq-TOV21G_OVARY,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7498,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615729.sralite.1
11,HT144,SRR8616047,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616047/,SKIN,SRX5415003,SRS4395930,SRP186687,2019-03-27 12:24:38,RNASeq-HT144_SKIN,TRANSCRIPTOMIC,male,BROAD INSTITUTE,6785,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/616/SRR8616047.sralite.1
12,CAL29,SRR8615266,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615266/,URINARY_TRACT,SRX5414487,SRS4395515,SRP186687,2019-03-27 12:24:31,RNASeq-CAL29_URINARY_TRACT,TRANSCRIPTOMIC,female,BROAD INSTITUTE,12091,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615266.sralite.1
13,NCIH1793,SRR8615611,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615611/,LUNG,SRX5414789,SRS4395765,SRP186687,2019-03-27 12:24:35,RNASeq-NCIH1793_LUNG,TRANSCRIPTOMIC,female,BROAD INSTITUTE,11329,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615611.sralite.1
14,ACHN,SRR8615405,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615405/,KIDNEY,SRX5414348,SRS4395398,SRP186687,2019-03-27 12:24:29,RNASeq-ACHN_KIDNEY,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8128,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615405.sralite.1
15,RS5,SRR8615433,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615433/,FIBROBLAST,SRX5414320,SRS4395145,SRP186687,2019-03-27 12:24:28,RNASeq-RS5_FIBROBLAST,TRANSCRIPTOMIC,male,BROAD INSTITUTE,11376,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615433.sralite.1
16,RDES,SRR8615592,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615592/,BONE,SRX5414808,SRS4395171,SRP186687,2019-03-27 12:24:35,RNASeq-RDES_BONE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,11180,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615592.sralite.1
17,A704,SRR8616013,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616013/,KIDNEY,SRX5415037,SRS4395955,SRP186687,2019-03-27 12:24:39,RNASeq-A704_KIDNEY,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7534,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616013.sralite.1
18,RI1,SRR8615801,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615801/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414599,SRS4395610,SRP186687,2019-03-27 12:24:32,RNASeq-RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,11420,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615801.sralite.1
19,T24,SRR8615858,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615858/,URINARY_TRACT,SRX5414542,SRS4395567,SRP186687,2019-03-27 12:24:31,RNASeq-T24_URINARY_TRACT,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8283,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615858.sralite.1
20,REH,SRR8615597,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615597/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414803,SRS4395771,SRP186687,2019-03-27 12:24:35,RNASeq-REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7298,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615597.sralite.1
21,PECAPJ15,SRR8615670,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615670/,UPPER_AERODIGESTIVE_TRACT,SRX5414730,SRS4395720,SRP186687,2019-03-27 12:24:34,RNASeq-PECAPJ15_UPPER_AERODIGESTIVE_TRACT,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8975,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615670.sralite.1
22,HUPT3,SRR8615669,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615669/,PANCREAS,SRX5414731,SRS4395721,SRP186687,2019-03-27 12:24:34,RNASeq-HUPT3_PANCREAS,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8897,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615669.sralite.1
23,SQ1,SRR8616184,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616184/,LUNG,SRX5414866,SRS4395202,SRP186687,2019-03-27 12:24:36,RNASeq-SQ1_LUNG,TRANSCRIPTOMIC,,BROAD INSTITUTE,13784,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616184.sralite.1
24,NCIH2172,SRR8616110,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616110/,LUNG,SRX5414940,SRS4395126,SRP186687,2019-03-27 12:24:38,RNASeq-NCIH2172_LUNG,TRANSCRIPTOMIC,female,BROAD INSTITUTE,11258,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616110.sralite.1
25,A204,SRR8615638,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615638/,SOFT_TISSUE,SRX5414762,SRS4395746,SRP186687,2019-03-27 12:24:35,RNASeq-A204_SOFT_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7314,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615638.sralite.1
26,D283MED,SRR8615957,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615957/,CENTRAL_NERVOUS_SYSTEM,SRX5415093,SRS4395999,SRP186687,2019-03-27 12:24:40,RNASeq-D283MED_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,male,BROAD INSTITUTE,12660,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615957.sralite.1
27,HCC44,SRR8615456,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615456/,LUNG,SRX5414297,SRS4395358,SRP186687,2019-03-27 12:24:28,RNASeq-HCC44_LUNG,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7583,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615456.sralite.1
28,JHH2,SRR8615918,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615918/,LIVER,SRX5415132,SRS4396030,SRP186687,2019-03-27 12:24:40,RNASeq-JHH2_LIVER,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7379,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615918.sralite.1
29,HOP92,SRR8616206,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616206/,LUNG,SRX5415196,SRS4395284,SRP186687,2019-03-27 12:24:41,RNASeq-HOP92_LUNG,TRANSCRIPTOMIC,,BROAD INSTITUTE,8038,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/616/SRR8616206.sralite.1
30,MELJUSO,SRR8615232,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615232/,SKIN,SRX5414521,SRS4395546,SRP186687,2019-03-27 12:24:31,RNASeq-MELJUSO_SKIN,TRANSCRIPTOMIC,female,BROAD INSTITUTE,6723,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615232.sralite.1
31,IM95,SRR8615841,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615841/,STOMACH,SRX5414559,SRS4395581,SRP186687,2019-03-27 12:24:32,RNASeq-IM95_STOMACH,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8476,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615841.sralite.1
32,SNU761,SRR8616023,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616023/,LIVER,SRX5415027,SRS4395201,SRP186687,2019-03-27 12:24:39,RNASeq-SNU761_LIVER,TRANSCRIPTOMIC,male,BROAD INSTITUTE,12734,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616023.sralite.1
33,SNU601,SRR8616025,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616025/,STOMACH,SRX5415025,SRS4395235,SRP186687,2019-03-27 12:24:39,RNASeq-SNU601_STOMACH,TRANSCRIPTOMIC,male,BROAD INSTITUTE,10450,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616025.sralite.1
34,EM2,SRR8615293,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615293/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414460,SRS4395491,SRP186687,2019-03-27 12:24:30,RNASeq-EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,12706,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615293.sralite.1
35,PANC1005,SRR8615377,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615377/,PANCREAS,SRX5414376,SRS4395419,SRP186687,2019-03-27 12:24:29,RNASeq-PANC1005_PANCREAS,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8160,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615377.sralite.1
36,KP4,SRR8616075,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616075/,PANCREAS,SRX5414975,SRS4395909,SRP186687,2019-03-27 12:24:38,RNASeq-KP4_PANCREAS,TRANSCRIPTOMIC,male,BROAD INSTITUTE,9739,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616075.sralite.1
37,SCC4,SRR8616098,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616098/,UPPER_AERODIGESTIVE_TRACT,SRX5414952,SRS4395888,SRP186687,2019-03-27 12:24:37,RNASeq-SCC4_UPPER_AERODIGESTIVE_TRACT,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8497,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616098.sralite.1
38,HLF,SRR8616135,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616135/,LIVER,SRX5414915,SRS4395854,SRP186687,2019-03-27 12:24:37,RNASeq-HLF_LIVER,TRANSCRIPTOMIC,male,BROAD INSTITUTE,9919,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616135.sralite.1
39,CALU3,SRR8615534,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615534/,LUNG,SRX5414219,SRS4395232,SRP186687,2019-03-27 12:24:27,RNASeq-CALU3_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,10729,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615534.sralite.1
40,U178,SRR8615689,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615689/,CENTRAL_NERVOUS_SYSTEM,SRX5414711,SRS4395703,SRP186687,2019-03-27 12:24:34,RNASeq-U178_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8125,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615689.sralite.1
41,MKN7,SRR8616068,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616068/,STOMACH,SRX5414982,SRS4395914,SRP186687,2019-03-27 12:24:38,RNASeq-MKN7_STOMACH,TRANSCRIPTOMIC,male,BROAD INSTITUTE,6914,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/616/SRR8616068.sralite.1
