run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	library_layout	library_source	read_count	base_count	first_public	last_updated	study_title	run_alias	fastq_bytes	fastq_md5	fastq_ftp	sra_bytes	sra_md5	sra_ftp	sample_alias	sample_title
SRR8615033	SAMN10988141	SRS4395287	SRX5414207	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	131362	39408600	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	HCC-56.bam	7773624;10209268	ec71a964d91c08dd4161a5c51e8077ec;f9a75f6d1eb4b5c1b419138e8a9a3396	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615033/SRR8615033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615033/SRR8615033_2.fastq.gz	18104962	be2409df4f8c038b478bdef7d40683bc	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/003/SRR8615033	HCC56_LARGE_INTESTINE	HCC56_LARGE_INTESTINE
SRR8615034	SAMN10988287	SRS4395286	SRX5414206	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	128373	38511900	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	HCC-78.bam	7530079;9978815	d4fd3f3baaefd30dd1b2ec8157737401;5110277bed499dea7a7cf72e75c1bcda	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615034/SRR8615034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615034/SRR8615034_2.fastq.gz	17593943	caa4df8f8b40e416f0fa6b7f2c9328ae	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/004/SRR8615034	HCC78_LUNG	HCC78_LUNG
SRR8615035	SAMN10989587	SRS4395285	SRX5414205	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	163122	48936600	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	HOP-62.bam	8058229;12501315	0912b268ba684b093da75cec18eea6d0;1112820fb407040aaf080ef27b589650	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615035/SRR8615035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615035/SRR8615035_2.fastq.gz	21029304	7d4124ffdd0d7dc14f3ce2a22ff4c1d2	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/005/SRR8615035	HOP62_LUNG	HOP62_LUNG
SRR8615042	SAMN10987804	SRS4395278	SRX5414198	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	232956	69886800	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	NCI-H810.bam	13081808;17856519	89cd15c12b0e3f6d4aa8fa4d930c3768;ec17e81d32c659c638ab991407a5442c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615042/SRR8615042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615042/SRR8615042_2.fastq.gz	30894571	984e7fe6fbcbdbf30c5e3ae1dd57cd59	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/002/SRR8615042	NCIH810_LUNG	NCIH810_LUNG
SRR8615047	SAMN10987678	SRS4395273	SRX5414193	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	166882	50064600	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	NCI-H322.bam	10400525;13057832	40188cfc8cb992e831837517b08b7216;1d9cda042e1140187e2fd48319969655	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615047/SRR8615047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615047/SRR8615047_2.fastq.gz	23711511	648268ec2fe15e87a64f0c0478bf825c	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/007/SRR8615047	NCIH322_LUNG	NCIH322_LUNG
SRR8615048	SAMN10988040	SRS4395272	SRX5414192	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	212314	63694200	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	NCI-H292.bam	10038253;16064669	8c0aaa70b02cec51f469a2c9f98606b9;f5a8330f1c5bf2c663ffdc5bd79dc0bb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615048/SRR8615048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615048/SRR8615048_2.fastq.gz	26660723	ceb5519e13720a3ad64dbbe750fa6630	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/008/SRR8615048	NCIH292_LUNG	NCIH292_LUNG
SRR8615049	SAMN10987612	SRS4395271	SRX5414191	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	156604	46981200	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	NCI-H28.bam	8718079;11970006	54af7f1c56d4aafa2db0925fbf352246;6cb97f2f0027dbf9803fdb5411cf513c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615049/SRR8615049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615049/SRR8615049_2.fastq.gz	20660470	eb2dc49fcc6e8dc1db8c786af007869b	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/009/SRR8615049	NCIH28_PLEURA	NCIH28_PLEURA
SRR8615057	SAMN10987819	SRS4395263	SRX5414183	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	171898	51569400	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	KMS-27.bam	8238325;12928990	3d249d088d81422189d62f326c64f08f;7b97fd3c70e322dd8fcf7557cd433e74	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615057/SRR8615057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615057/SRR8615057_2.fastq.gz	21660419	6cfd859ce77a85bafb769ead9d1509ab	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/007/SRR8615057	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SRR8615064	SAMN10987771	SRS4395256	SRX5414176	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	124175	37252500	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	SW1463.bam	8490659;9922191	fd392f6935165f68dd63d19424360aa6;2a04aa8657e4d94f28d46d3d67c0aeea	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615064/SRR8615064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615064/SRR8615064_2.fastq.gz	18993721	2f31b5b901c00db9d779aed4efcb3aa6	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/004/SRR8615064	SW1463_LARGE_INTESTINE	SW1463_LARGE_INTESTINE
SRR8615065	SAMN10988110	SRS4395255	SRX5414175	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	216749	65024700	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	T3M-10.bam	9406454;15970628	545029f185028284bf326ae9416a1e3b;ecf04c2c006eff9144432c05f1a0f600	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615065/SRR8615065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615065/SRR8615065_2.fastq.gz	25755376	8c7b13296698b1dcea6811fc4c71bc03	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/005/SRR8615065	T3M10_LUNG	T3M10_LUNG
SRR8615067	SAMN10987646	SRS4395253	SRX5414173	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	204112	61233600	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	SW480.bam	11234611;15550259	2342faa30d2d51f485da69fb89428fdf;081dbf8db5e3b4d4a604571a17f0431e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615067/SRR8615067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615067/SRR8615067_2.fastq.gz	26638478	5ee89f53870d7aff9fd3b3bf276d140d	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/007/SRR8615067	SW480_LARGE_INTESTINE	SW480_LARGE_INTESTINE
SRR8615072	SAMN10988171	SRS4395248	SRX5414168	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	165364	49609200	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	NCI-H1755.bam	8249562;12635650	8dea4d789619a225aab464b51670ccc1;eae451f4e0dd84ea81986f279ce93912	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615072/SRR8615072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615072/SRR8615072_2.fastq.gz	21385946	e3e9ec263b56828d8b36db81fce586f8	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/002/SRR8615072	NCIH1755_LUNG	NCIH1755_LUNG
SRR8615076	SAMN10988000	SRS4395244	SRX5414164	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	156377	46913100	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	NCI-H1436.bam	7905387;12038111	ceb40ddee246d4d1a620bb7a52883ccb;2792660f2f841748529fe394398f6d53	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615076/SRR8615076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615076/SRR8615076_2.fastq.gz	20465313	e4dcab765abc0628a5eb96e7cc3d90fe	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/006/SRR8615076	NCIH1436_LUNG	NCIH1436_LUNG
SRR8615079	SAMN10987661	SRS4395241	SRX5414161	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	57575	17272500	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	NCI-H1573.bam	4519443;4771459	395ca59fd66a39d9c15f5a7d836fc7b2;a9c1e97a2c4e6086191352330ce0ee78	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615079/SRR8615079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615079/SRR8615079_2.fastq.gz	9836042	1a121c5158bc1a069529b1df2540d3d8	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/009/SRR8615079	NCIH1573_LUNG	NCIH1573_LUNG
