run_accession,sample_name,sample_acc,experiment,library_name,sra_study,center_name,platform,assay_type,librarysource,organism,releasedate,bases,size_in_bytes,size_in_GB,disease_sam,disease_stage_sam_s_dpl172,tissue_sam,run_file_create_date
SRR8616020,A375_SKIN,SRS4395948,SRX5415030,RNASeq-A375_SKIN,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15501388292,7802508320,7.8,malignant_melanoma,primary,skin,
SRR8615545,LN443_CENTRAL_NERVOUS_SYSTEM,SRS4395810,SRX5414855,RNASeq-LN443_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16018583436,8570652102,8.57,glioma (astrocytoma_Grade_IV),NA,central_nervous_system,2019-02-23T23:31:00.000Z
SRR8615484,JHESOAD1_OESOPHAGUS,SRS4395335,SRX5414269,RNASeq-JHESOAD1_OESOPHAGUS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16625606768,8972531697,8.97,carcinoma (barrett_associated_adenocarcinoma),NA,oesophagus,2019-02-23T23:25:00.000Z
SRR8615991,COLO680N_OESOPHAGUS,SRS4395972,SRX5415059,RNASeq-COLO680N_OESOPHAGUS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21067870376,11211586013,11.21,carcinoma (squamous_cell_carcinoma),primary,oesophagus,2019-02-24T00:45:00.000Z
SRR8615876,OV56_OVARY,SRS4396070,SRX5415174,RNASeq-OV56_OVARY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21288728086,11189454192,11.19,carcinoma,primary,ovary,2019-02-24T00:21:00.000Z
SRR8615861,SKUT1_SOFT_TISSUE,SRS4395564,SRX5414539,RNASeq-SKUT1_SOFT_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22255464534,11952884892,11.95,leiomyosarcoma,primary,soft_tissue,2019-02-24T00:33:00.000Z
SRR8616095,SCC9_UPPER_AERODIGESTIVE_TRACT,SRS4395890,SRX5414955,RNASeq-SCC9_UPPER_AERODIGESTIVE_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,25450044236,13685194420,13.69,carcinoma (squamous_cell_carcinoma),primary,upper_aerodigestive_tract,2019-02-24T01:13:00.000Z
SRR8615587,S117_THYROID,SRS4395777,SRX5414813,RNASeq-S117_THYROID,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20309370476,11324309482,11.32,sarcoma,primary,soft_tissue,2019-02-23T23:40:00.000Z
SRR8616100,SCC15_UPPER_AERODIGESTIVE_TRACT,SRS4395886,SRX5414950,RNASeq-SCC15_UPPER_AERODIGESTIVE_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21487591834,11561235362,11.56,carcinoma (squamous_cell_carcinoma),primary,upper_aerodigestive_tract,2019-02-24T01:03:00.000Z
SRR8615666,HUCCT1_BILIARY_TRACT,SRS4395724,SRX5414734,RNASeq-HUCCT1_BILIARY_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18183540656,9056963250,9.06,carcinoma,primary,biliary_tract,2019-02-23T23:53:00.000Z
